Time,Block #,Address,Balance,Identity A,Logo A,Identity B,Logo B
2021-10-27 19:45:34,7444020,5CRvXUKwLDzFM1u9reZ1quf14pNbsw27EZWCBxPMmpydBfYV,32378733457284,100,100,0,0
2021-10-27 19:45:46,7444038,5GBw5o91TwwLwpj24ucJimWZhpg9bc5W9mBTMERjiaYYsENd,4242614486133,0,100,100,0
2021-10-27 19:45:56,7444052,5D7YxCNiMM75yPq4SkkuPhVMMKAxuQCkZrH4zdv7j2oeFYMj,13589000000,100,0,0,100
2021-10-27 19:46:20,7444085,5F7ajsgSMLdU7xtHraV5PJuogFRok3ipD2i93UFjJykzoqEb,73601100956,0,100,100,0
2021-10-27 19:46:27,7444096,5F7ajsgSMLdU7xtHraV5PJuogFRok3ipD2i93UFjJykzoqEb,73601100956,25,50,75,50
2021-10-27 19:47:15,7444141,5FbbLV7w8Mcxjw1w268yajQFMRkqbFuHFj2yrzMqwcNZfcji,40737399994,0,100,100,0
2021-10-27 19:47:28,7444158,5FLRwuhcsdzGWcLW5CdWmbyUktR99RyeFyNfgmS7ymb4sj7H,17826599902,0,100,100,0
2021-10-27 19:47:38,7444172,5FeDmTJHozDrHR8aK2kUMUTBqmzwVoX4xdkBQx5BaSLyAK1G,20000000000,0,100,100,0
2021-10-27 19:47:44,7444181,5F7ajsgSMLdU7xtHraV5PJuogFRok3ipD2i93UFjJykzoqEb,73601100956,0,75,100,25
2021-10-27 19:47:50,7444189,5CzSYuGT8kWAgR1KUkKD6cietBedTBNtqX5RghPA1eXiM5yB,8385501716641,0,100,100,0
2021-10-27 19:47:51,7444191,5Cqxuwyoi2LNkUYRmdwSBhkJNubhmfeeRzV12mLNtKY84saS,580175838300,25,75,75,25
2021-10-27 19:47:58,7444200,5ED2JFu8t9wHdiWUTxBRGnNzrk9fnBnCnQ1AMrqWhPghrA75,803302000000,50,100,50,0
2021-10-27 19:48:01,7444204,5F99ZVYg7XSauDKgEDFtbbQ8tJbp9EZv1NirqYZQHwsV9jwP,88354000000,50,50,50,50
2021-10-27 19:48:03,7444207,5GpCZLskhNWozDGBbBCdAGjjoHxBncdtLiYAwgRZN78PTHZb,2632289735100,0,100,100,0
2021-10-27 19:48:17,7444228,5FF6KEDwmLNtAxcAHGc6Kitu6xhYQMKTzMjYeRhea2fG9ces,969551999938,0,100,100,0
2021-10-27 19:49:43,7444346,5F2BgqJP5zyRSiy12jgT9kBvEjyWNUdkdKoycNcv4emisafV,3267483651865,100,75,0,25
2021-10-27 19:52:13,7444392,5Guc6TyNGas58QvtbdxaxKkZtGFLodNHLNNf9adqmKZfS6no,3297365483600,100,75,0,25
2021-10-27 19:53:32,7444405,5FLR8GVFCNAVwqeWvb25vqEdHzebgGNNCivjuoAQ9sQb3JFb,267822922000,25,100,75,0
2021-10-27 19:54:44,7444417,5CXHVr32PQisKUsPkZkrjT1tiU2pnkkjQUmyX4gHknEouHgn,65632999986,0,50,100,50
2021-10-27 19:55:37,7444426,5CXHVr32PQisKUsPkZkrjT1tiU2pnkkjQUmyX4gHknEouHgn,65632999986,25,25,75,75
2021-10-27 20:09:14,7444562,5CDqYKkAUan7pzbzNw81NAd1BCNYPk8ryZjahrqXyfmaLrf1,11150769174,50,50,50,50
2021-10-27 20:09:55,7444569,5CDqYKkAUan7pzbzNw81NAd1BCNYPk8ryZjahrqXyfmaLrf1,11150769174,0,100,100,0
2021-10-27 20:25:33,7444724,5HmNg7pkCwChMrxUNpdhsUTntkTNoU22S2cWJDQtCiJcDc7w,125702999900,50,50,50,50
2021-10-27 20:26:39,7444735,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,50,50,50,50
2021-10-27 20:27:09,7444740,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,0,50,100,50
2021-10-27 20:27:13,7444741,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,0,50,100,50
2021-10-27 20:27:38,7444745,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,50,50,50,50
2021-10-27 20:27:43,7444746,5GeG5RtNmT4M9gQGZm2TYc9JgoPYQ8EsyAi1q84u6R7HxVby,28000000000,100,100,0,0
2021-10-27 20:27:43,7444746,5HYsQKXAVLFNDvWEuGpew4QW6F7ZyjLECrTWURZBQSFi3hnR,887662361629,50,100,50,0
2021-10-27 20:28:31,7444754,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,50,75,50,25
2021-10-27 20:28:37,7444755,5GuMTcvkMBr7qVx2soxmiBTNh98c6vPznt8evkA5Rne2tvY2,597112280000,100,100,0,0
2021-10-27 20:28:43,7444756,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,0,0,100,100
2021-10-27 20:29:07,7444760,5CLkrXigJwxariohwLGSrgydXxZTsdEbsa7kNe1ub39yU2r6,49089000000,100,100,0,0
2021-10-27 20:30:01,7444769,5EhRY8uNSXEjBro3CEY3EX8JuyZheGQ9x9ewhddVgVyKH1q3,286209599614,100,100,0,0
2021-10-27 20:30:42,7444774,5HQQDQhnfimT6gQVvJDtsvGWEMdcVVvgcxyq7deLMnhsRQ9D,568623086700,50,50,50,50
2021-10-27 20:31:02,7444779,5DodrUJxJK5TKjrc8CKa3B4gYj7kW5yZEhB57biwFAq6U72u,13153999916,0,75,100,25
2021-10-27 20:31:14,7444781,5HQQDQhnfimT6gQVvJDtsvGWEMdcVVvgcxyq7deLMnhsRQ9D,568623086700,100,100,0,0
2021-10-27 20:31:26,7444783,5Gv79AYTHJRTph7zBLZLkFjMXUcirGyn9mVhdBD7rgvFjkcP,150589000000,0,100,100,0
2021-10-27 20:32:07,7444790,5FRqUhdH572xcx5XmjkxULRHNqdgzgvu7a23U4fxr9Nxyj9S,18940051584,50,50,50,50
2021-10-27 20:33:43,7444806,5H9UwFw9CXBEbSR2qZjYzkZejw6g2jdXYKhwiuiETSJ6N8pu,26775077457400,0,50,100,50
2021-10-27 20:34:03,7444809,5DwCPG4irEKLnTRVVdB8VhRg1TB8JLnHiwgScyMynNyf95B8,67109886400,100,100,0,0
2021-10-27 20:34:43,7444816,5DD2YavJ7PVveoXP1fyzkwSzrPAANSB8TY1Fgju5hHYHRLp3,248589000000,100,100,0,0
2021-10-27 20:34:50,7444817,5EUrkDW6McQdTxwGEzGu1YUUtzVQxEeMweKKFjVPzs5GwC4Q,41740825786,0,100,100,0
2021-10-27 20:35:13,7444820,5GGwBVxE5mUg59mesHL9j2SqAQ3A6GKPpUsuBH3uF2yXZE4v,74558907432,0,100,100,0
2021-10-27 20:35:38,7444824,5HHJPnZbhKUQpTujJnUXbaByj6APmzAJzxv9kpuYb1AJssEh,22070000000,0,75,100,25
2021-10-27 20:36:01,7444828,5D81SxYexYiwkkY6t5zfPj7s2FkvHvesX1e5XzYAcjkzoTms,1570645400262,0,100,100,0
2021-10-27 20:36:07,7444829,5HHJPnZbhKUQpTujJnUXbaByj6APmzAJzxv9kpuYb1AJssEh,22070000000,0,75,100,25
2021-10-27 20:36:37,7444834,5Gh9cvrB8EMw1AWig9x4Rbcw824ZfTAiAfNLwr6zzC3CEWtL,10357787965800,0,100,100,0
2021-10-27 20:36:43,7444835,5HpLfocD1n9ijKt6iUM9eQxf69pyg74dfjZVyhn7znLDHZtg,75589000000,0,100,100,0
2021-10-27 20:36:43,7444835,5HpLfocD1n9ijKt6iUM9eQxf69pyg74dfjZVyhn7znLDHZtg,75589000000,0,100,100,0
2021-10-27 20:37:13,7444840,5F9App8bdi5QuHPBHUx8ZvdtKkBoEdJq2QuZ9SUJEDY79FNw,75589000000,0,100,100,0
2021-10-27 20:37:49,7444846,5FbtZ2oRfw9H3oA6xxKDhssj5uJiBt4S6Brg7Kb94Hxg4cJc,25432999986,0,100,100,0
2021-10-27 20:38:49,7444856,5CQFFseAKEtZeskT5HUE9aCZa4dcwx4WyusXRoHX4v14bFr2,19589000000,50,50,50,50
2021-10-27 20:39:01,7444858,5HEBXSDhTV8EHQagpgYRRuAdsFao5iF7K742Uvne3jRxnMCU,47901227170208,0,100,100,0
2021-10-27 20:39:08,7444859,5G19U7rxD79PUXJYuJ2zgCH9ESj6j1RKUsD3k3845eTj3uMY,18721399970,50,100,50,0
2021-10-27 20:40:15,7444870,5GTaAkAN7qURQHwtHMLgtBfj4LmZo1cnGKR75xLv6AmrYuiC,145359431999986,0,100,100,0
2021-10-27 20:40:15,7444870,5GTaAkAN7qURQHwtHMLgtBfj4LmZo1cnGKR75xLv6AmrYuiC,145359431999986,0,100,100,0
2021-10-27 20:40:45,7444875,5DvW837eiQpRbSEqtpaefiu5wS5rUVuiL2YVPzAKUtcYcjR9,16301999887,0,100,100,0
2021-10-27 20:40:55,7444877,5GNv53ixL9mmsndsiax39woYmkHTJzUq1h7Q19Q38qwAhJBs,15520754386237,0,100,100,0
2021-10-27 20:40:56,7444877,5GNv53ixL9mmsndsiax39woYmkHTJzUq1h7Q19Q38qwAhJBs,15520754386237,0,100,100,0
2021-10-27 20:41:37,7444884,5GQyp4vB2RzWsRPqA4UMzYfNNbRiM2P82CYtR68BUf52FGBx,14308232340,0,100,100,0
2021-10-27 20:41:43,7444885,5HMsXU63jEuAW9AWTauUj4tVZUMChzRWQeoA3WRDx9QJVvDk,19089000000,100,100,0,0
2021-10-27 20:41:43,7444885,5ChaahFX2gStur5dxf1eBy9K6KCqJjyx9UobTt9ccXBf31Kc,1257091436931,100,0,0,100
2021-10-27 20:43:21,7444901,5D7RziL6gVm2g8KhenE8Fr9bMRsUKBQ45kV7MYnfCoHVHAW4,99089000000,75,75,25,25
2021-10-27 20:43:25,7444902,5CQkoK2VoNe1keBAjCuB2gjsqta1jovvX13vccA1Wpnxefgp,1226421039960,0,100,100,0
2021-10-27 20:43:37,7444904,5DEtUcgYjq6H6LoQEUbAvLaztqfmNXJph23dwTC3TUg7gWqc,19089000000,0,100,100,0
2021-10-27 20:43:37,7444904,5DEtUcgYjq6H6LoQEUbAvLaztqfmNXJph23dwTC3TUg7gWqc,19089000000,0,100,100,0
2021-10-27 20:43:56,7444907,5How4kduXGT31qNv2GB8PA1q9oTvJmKqWk1pXoSPqRqfrzc3,32573000000,0,100,100,0
2021-10-27 20:44:13,7444910,5How4kduXGT31qNv2GB8PA1q9oTvJmKqWk1pXoSPqRqfrzc3,32573000000,0,100,100,0
2021-10-27 20:44:19,7444911,5FpysmoxwVqMFj2avEzZTwCmPgDMpikJZCdKCtpbsJktz8Bj,1216727282552,75,25,25,75
2021-10-27 20:44:20,7444911,5FpysmoxwVqMFj2avEzZTwCmPgDMpikJZCdKCtpbsJktz8Bj,1216727282552,75,25,25,75
